,name,time,month,day,hourly_temperature,hourly_wind_speed
44046,"BINGHAMTON GREATER AP, NY US",12,01,11,-3.7,5.3
44047,"BINGHAMTON GREATER AP, NY US",13,01,11,-3.3,5.3
44048,"BINGHAMTON GREATER AP, NY US",14,01,11,-3.1,5.3
44049,"BINGHAMTON GREATER AP, NY US",15,01,11,-3.1,5.3
44050,"BINGHAMTON GREATER AP, NY US",16,01,11,-3.3,4.9
44051,"BINGHAMTON GREATER AP, NY US",17,01,11,-3.9,4.6
44052,"BINGHAMTON GREATER AP, NY US",18,01,11,-4.3,4.6
44053,"BINGHAMTON GREATER AP, NY US",19,01,11,-4.7,4.5
44054,"BINGHAMTON GREATER AP, NY US",20,01,11,-4.9,4.6
44055,"BINGHAMTON GREATER AP, NY US",21,01,11,-5.2,4.6
44056,"BINGHAMTON GREATER AP, NY US",22,01,11,-5.3,4.6
44057,"BINGHAMTON GREATER AP, NY US",23,01,11,-5.5,4.5
44058,"BINGHAMTON GREATER AP, NY US",24,01,12,-6.2,4.6
44059,"BINGHAMTON GREATER AP, NY US",01,01,12,-5.7,4.6
44060,"BINGHAMTON GREATER AP, NY US",02,01,12,-5.9,4.5
44061,"BINGHAMTON GREATER AP, NY US",03,01,12,-6.0,4.6
44062,"BINGHAMTON GREATER AP, NY US",04,01,12,-6.1,4.3
44063,"BINGHAMTON GREATER AP, NY US",05,01,12,-6.1,4.4
44064,"BINGHAMTON GREATER AP, NY US",06,01,12,-6.2,4.3
44065,"BINGHAMTON GREATER AP, NY US",07,01,12,-6.2,4.4
44066,"BINGHAMTON GREATER AP, NY US",08,01,12,-6.3,4.3
44067,"BINGHAMTON GREATER AP, NY US",09,01,12,-5.8,4.5
44068,"BINGHAMTON GREATER AP, NY US",10,01,12,-5.1,4.8
44069,"BINGHAMTON GREATER AP, NY US",11,01,12,-4.4,5.1
44070,"BINGHAMTON GREATER AP, NY US",12,01,12,-3.9,5.3
44071,"BINGHAMTON GREATER AP, NY US",13,01,12,-3.5,5.3
44072,"BINGHAMTON GREATER AP, NY US",14,01,12,-3.3,5.3
